model,num_layers,drop_ratio,batch_size,lr,epochs_run,cell,factors,log_path,pre_best_acc,pre_best_acc_auc,tp,tn,fp,fn,recall,f1,mcc,pre_best_auc,pre_best_auc_acc,pre_best_acc_epoch,test_acc,test_auc,ppr,npr,tr,ta,val_test_acc,val_tp,val_fp,val_tn,val_fn,val_ppr,val_npr,val_Specificity,val_recall,val_tr,val_ta,val_f1,val_mcc
Transformer,2,0.0,3762,0.004,50,64,8,logs/Transformer_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-18_epoch50,0.5964912176132202,0.6292687848863386,1156,1088,785,733,0.6119640021175226,0.6036553524804178,0.1929467210982128,0.6299777818414816,0.5919723510742188,39,0.5964912280701754,0.6292687848863386,0.5955692941782587,0.5974739154310819,0.580886278697277,0.5964912280701754,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformer,4,0.0,3762,0.004,50,64,8,logs/Transformer_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-19_epoch50,0.5978202819824219,0.6265924874303899,1164,1085,788,725,0.6161990471148756,0.6060921634990888,0.1956212548181512,0.6269522853669642,0.5948963165283203,42,0.5978203083466241,0.6265924874303899,0.5963114754098361,0.5994475138121547,0.5792845702082221,0.5978203083466241,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,2,0.0,3762,0.004,50,64,8,logs/LSTM_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-19_epoch50,0.6119085550308228,0.6402836044348135,1186,1086,787,703,0.6278454208575966,0.6141895390989124,0.20791084712145,0.642274929149766,0.6047315001487732,47,0.6039340776182881,0.6377668560245805,0.601115053218449,0.607043040804919,0.5798184730379071,0.6039340776182881,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,4,0.0,3762,0.004,50,64,8,logs/LSTM_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-19_epoch50,0.6076555252075195,0.6385947021802963,1176,1089,784,713,0.6225516146109052,0.6110678098207326,0.2041500820827847,0.6424165306943252,0.6041998863220215,46,0.60207336523126,0.6379368626693955,0.6,0.6043285238623751,0.5814201815269621,0.60207336523126,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU,2,0.0,3762,0.004,50,64,8,logs/GRU_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-19_epoch50,0.6119085550308228,0.6448267246488719,1409,893,980,480,0.7458973001588142,0.6587190275829826,0.2312640686884305,0.6522562835332102,0.6044657230377197,29,0.6119085592769803,0.6448267246488719,0.5897865215571368,0.6504005826656956,0.4767752269087026,0.6119085592769803,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU,4,0.0,3762,0.004,50,64,8,logs/GRU_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-20_epoch50,0.6041998863220215,0.6388445540074227,1178,1095,778,711,0.6236103758602435,0.6127438231469441,0.208397813283939,0.6415708783563594,0.6031366586685181,37,0.6041998936735778,0.6388445540074227,0.6022494887525562,0.606312292358804,0.5846235985050721,0.6041998936735778,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformer,2,0.0,3762,0.004,50,64,8,logs/Transformer_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-27_epoch50,0.6023392081260681,0.6345272614063435,1193,1073,800,696,0.6315510852302806,0.6146316331787739,0.20479032103365324,0.6355253968446879,0.59968101978302,34,0.6023391812865497,0.6345272614063435,0.5985950827897641,0.6065573770491803,0.5728777362520021,0.6023391812865497,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformer,4,0.0,3762,0.004,50,64,8,logs/Transformer_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-27_epoch50,0.6007443070411682,0.6303665501539387,1221,1039,834,668,0.6463737427210164,0.6191683569979716,0.20196291753311765,0.6306419807031859,0.6007443070411682,41,0.6007442849548112,0.6303665501539387,0.5941605839416059,0.6086701816051553,0.5547250400427123,0.6007442849548112,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,2,0.0,3762,0.004,50,64,8,logs/LSTM_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-28_epoch50,0.6111111044883728,0.641742722146962,1180,1099,774,709,0.6246691371095818,0.614103564923237,0.21158583472425754,0.641742722146962,0.6111111044883728,44,0.6057947900053163,0.6375389086279998,0.6038894575230297,0.6078539823008849,0.586759209823812,0.6057947900053163,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,4,0.0,3762,0.004,50,64,8,logs/LSTM_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-28_epoch50,0.6097820401191711,0.6385817008408757,1209,1101,772,680,0.6400211752249868,0.6248062015503876,0.22816879795453512,0.640378288102333,0.6060606241226196,47,0.6140350877192983,0.6396233625024978,0.6102978293791015,0.618192026951151,0.5878270154831821,0.6140350877192983,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU,2,0.0,3762,0.004,50,64,8,logs/GRU_8factors_cell64_ReLU_layer2_drop_ratio0.0_20250411-04-28_epoch50,0.6063264012336731,0.6469186684254276,1164,1117,756,725,0.6161990471148756,0.6111840378051981,0.21261228960147543,0.6482436744950747,0.6007443070411682,36,0.6063264221158958,0.6469186684254276,0.60625,0.6064060803474485,0.596369460758142,0.6063264221158958,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU,4,0.0,3762,0.004,50,64,8,logs/GRU_8factors_cell64_ReLU_layer4_drop_ratio0.0_20250411-04-28_epoch50,0.6132376194000244,0.6444348473204663,1216,1091,782,673,0.6437268395976707,0.6256753280164652,0.22665165873610918,0.6444393695254822,0.612971842288971,50,0.613237639553429,0.6444348473204663,0.6086086086086087,0.6184807256235828,0.5824879871863321,0.613237639553429,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
